1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
67,+47,love nwantiti (ah ah ah),CKay,https://m.tiktok.com/h5/share/music/7052473239645309702.html?language=en&source=h5_m&u_code=e0ci5eifbhd424&_d=e0ci5eifbhd424&share_music_id=7052473239645309702,457620740,90060,572.0,817.0,1056.0,2940.0,15657.0,-0.7688133993866478,1.0,0.909,0.035,0.016,0.0020065959836692232,0.03264490339773484,0.18777543590726192,0.35918367346938773,0.7736742424242424,0.5416666666666666
68,+20,Happiest Year,Jaymes Young,https://m.tiktok.com/h5/share/music/6968132246679128834.html?language=en&source=h5_m&u_code=e0chk694h8db6b&_d=e0chk694h8db6b&share_music_id=6968132246679128834,400106908,357601,563.0,930.0,1303.0,2648.0,6061.0,-0.22414298271315558,1.0,1.0,0.195,0.299,0.0010506300412844382,0.007404900993006172,0.436891602045867,0.49206948640483383,0.7137375287797391,0.43207981580967
69,+16,Talk Dirty (feat. 2 Chainz),Jason Derulo,https://m.tiktok.com/h5/share/music/7052369145941330694.html?language=en&source=h5_m&u_code=e0ci085a3e0bhk&_d=e0ci085a3e0bhk&share_music_id=7052369145941330694,455749160,107436,563.0,940.0,1615.0,4580.0,11762.0,-0.36229462545252017,1.0,1.0,0.273,0.13,0.006020471874822566,0.04263003090211847,0.3893895595987077,0.35262008733624456,0.5820433436532507,0.34860681114551084
70,+610,Love Faces,Trey Songz,https://m.tiktok.com/h5/share/music/6896981514278406145.html?language=en&source=h5_m&u_code=e0ci1mm1dai96f&_d=e0ci1mm1dai96f&share_music_id=6896981514278406145,228416566,3669,562.0,1046.0,1386.0,2078.0,2480.0,4.169154228855722,0.102,0.083,0.035,0.016,0.1542944008107424,0.5663668574543472,0.8379032258064516,0.6669874879692012,0.7546897546897547,0.4054834054834055
71,-14,I'm Yours,Jason Mraz,https://m.tiktok.com/h5/share/music/7059428186803047194.html?language=en&source=h5_m&u_code=e0che1fi8f0208&_d=e0che1fi8f0208&share_music_id=7059428186803047194,463952423,65053,561.0,1328.0,2323.0,7234.0,32149.0,-0.7096528195865944,1.0,0.647,0.035,0.016,0.014139666712415776,0.11120163558944246,0.22501477495411987,0.3211224771910423,0.5716745587602239,0.24149806284976325
72,-27,nan,nan,https://m.tiktok.com/h5/share/music/7047348160129223430.html?language=en&source=h5_m&u_code=e0chkh5c1fbc47&_d=e0chkh5c1fbc47&share_music_id=7047348160129223430,448895101,212657,549.0,1639.0,3149.0,5515.0,15143.0,-0.42719152471956795,1.0,1.0,0.172,0.211,0.0042065206310066775,0.025933780689090885,0.3641946774087037,0.570988213961922,0.5204826929183868,0.17434106065417593
73,-9,See You Again (feat. Charlie Puth),Wiz Khalifa,https://m.tiktok.com/h5/share/music/6704983897970575361.html?language=en&source=h5_m&u_code=e0ci7ae5hbc2il&_d=e0ci7ae5hbc2il&share_music_id=6704983897970575361,97898087,255130,537.0,1037.0,1572.0,3656.0,6692.0,0.20421607378129117,1.0,1.0,0.172,0.211,0.0021244587284645357,0.014329949437541645,0.5463239689181112,0.4299781181619256,0.6596692111959288,0.3416030534351145
74,+72,That's What I Like,Bruno Mars,https://m.tiktok.com/h5/share/music/7047203485166619397.html?language=en&source=h5_m&u_code=e0chg8213d59bd&_d=e0chg8213d59bd&share_music_id=7047203485166619397,448884545,61122,530.0,703.0,1109.0,2316.0,4029.0,0.3520140105078809,1.0,0.647,0.035,0.016,0.006007367526211415,0.03789143025424561,0.5748324646314222,0.4788428324697755,0.6339044183949504,0.47790802524797116
75,+11,WHATS POPPIN,Jack Harlow,https://m.tiktok.com/h5/share/music/6803571105387792386.html?language=en&source=h5_m&u_code=e0chi80m7652i8&_d=e0chi80m7652i8&share_music_id=6803571105387792386,32639862,115980,521.0,892.0,1338.0,3102.0,5872.0,0.11985559566787003,1.0,1.0,0.273,0.13,0.0037432800622368024,0.026745990688049663,0.5282697547683923,0.43133462282398455,0.6666666666666666,0.38938714499252614
76,-3,Unstoppable,Sia,https://m.tiktok.com/h5/share/music/6716541609229436930.html?language=en&source=h5_m&u_code=e0ci7486behe4e&_d=e0ci7486behe4e&share_music_id=6716541609229436930,72046890,98538,516.0,1013.0,1497.0,3333.0,7026.0,-0.09748172217709179,1.0,0.909,0.035,0.016,0.004874571466244696,0.033824514400535834,0.4743808710503843,0.44914491449144917,0.676686706746827,0.34468937875751504
77,-1,Hero (feat. Christina Perri),Cash Cash,https://m.tiktok.com/h5/share/music/6586163630444645122.html?language=en&source=h5_m&u_code=e0chiigd2a1d0m&_d=e0chiigd2a1d0m&share_music_id=6586163630444645122,426036,255739,509.0,856.0,1327.0,2970.0,5537.0,0.15699259836384885,1.0,1.0,0.172,0.211,0.0016443658069379117,0.011613402726999011,0.5363915477695503,0.4468013468013468,0.6450640542577242,0.3835719668425019
78,-17,Narco Trafficante (feat. Percy Keith),Kevin Gates,https://m.tiktok.com/h5/share/music/7057159435428563759.html?language=en&source=h5_m&u_code=e0ci3gg8alhag5&_d=e0ci3gg8alhag5&share_music_id=7057159435428563759,460638605,34231,498.0,1071.0,1763.0,4629.0,9081.0,0.03975741239892183,0.671,0.382,0.035,0.016,0.0196045793338142,0.13522830183167303,0.5097456227287743,0.3808597969323828,0.6074872376630743,0.2824730572887124
79,-17,Unstoppable,Sia,https://m.tiktok.com/h5/share/music/7063033778574314267.html?language=en&source=h5_m&u_code=e0chai0d0i5a2c&_d=e0chai0d0i5a2c&share_music_id=7063033778574314267,467622032,20849,489.0,1037.0,1538.0,4028.0,12383.0,-0.5178934769599043,0.496,0.283,0.035,0.016,0.02668585866953864,0.1931987145666459,0.3252846644593394,0.38182720953326715,0.6742522756827048,0.3179453836150845
80,-9,Photograph,Ed Sheeran,https://m.tiktok.com/h5/share/music/7063438702986414854.html?language=en&source=h5_m&u_code=e0chk46a5hi90f&_d=e0chk46a5hi90f&share_music_id=7063438702986414854,468987226,40962,478.0,973.0,1555.0,4159.0,29475.0,-0.8357165428977722,0.82,0.478,0.035,0.016,0.011797082093931521,0.10153312826522143,0.14110262934690415,0.3738879538350565,0.6257234726688103,0.307395498392283
