1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,3 Day Post Growth Rank,Change in 3 Day Post Growth Rank,Post Count 7 Day Delta,7 Day Post Growth Rank,Change in 7 Day Post Growth Rank,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
619,+74,Milk and Cookies,Melanie Martinez,https://m.tiktok.com/h5/share/music/175732492585336832.html?language=en&source=h5_m&u_code=e0chb5lm06al7i&_d=e0chb5lm06al7i&share_music_id=175732492585336832,92582171,31377,-28.0,-54.0,-95.0,0,0,147.0,0,0,621.0,-0.689873417721519,0.671,0.382,0.035,0.016,-0.0002163125079526426,0.004684960321254422,0.23671497584541062,-0.6462585034013606,0.5684210526315789,0.29473684210526313
620,+78,Let It All Go,Birdy,https://www.tiktok.com/music/let-it-all-go-7035710305585957637?_r=1&language=en&source=h5_m&u_code=e0ci2cb4m3df6h&_d=e0ci2cb4m3df6h&share_music_id=7035710305585957637,439856407,144900,-30.0,-168.0,-235.0,0,0,340.0,0,0,3508.0,-0.8926767676767676,1.0,1.0,0.273,0.13,2.6212319790221138e-05,0.0023464458247066944,0.09692132269099202,-0.6911764705882353,0.7148936170212766,0.1276595744680851
621,-334,Beethoven,Kenndog,https://www.tiktok.com/music/original-sound-6994981240994679557?_r=1&language=en&source=h5_m&u_code=e0ci08cl7i17be&_d=e0ci08cl7i17be&share_music_id=6994981240994679557,414097330,328666,-33.0,36.0,151.0,0,0,1216.0,0,0,4745.0,-0.6554264664210825,1.0,1.0,0.195,0.299,0.0005030573217374712,0.0036998046649181844,0.2562697576396207,0.12417763157894737,0.23841059602649006,-0.2185430463576159
622,-169,Pity Party,Melanie Martinez,https://www.tiktok.com/music/original-sound-7045042941483797294?_r=1&language=en&source=h5_m&u_code=e0chbhfll872hd&_d=e0chbhfll872hd&share_music_id=7045042941483797294,447916051,51781,-42.0,-12.0,-44.0,0,0,318.0,0,0,2758.0,-0.8696721311475409,1.0,0.58,0.035,0.016,0.00010810643851057406,0.006141248720573183,0.11530094271211022,-0.13836477987421383,0.2727272727272727,0.9545454545454546
623,-415,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,https://www.tiktok.com/music/son-original-7040953778459118341?_r=1&language=en&source=h5_m&u_code=e0ci5fh4f40j1a&_d=e0ci5fh4f40j1a&share_music_id=7040953778459118341,455546995,56150,-44.0,68.0,206.0,0,0,1688.0,0,0,7336.0,-0.7011331444759207,1.0,0.58,0.035,0.016,0.0036974874299773412,0.03006233303650935,0.2300981461286805,0.12203791469194313,0.3300970873786408,-0.21359223300970873
624,+73,abcdefu,GAYLE,https://www.tiktok.com/music/abcdefu-angrier-7010331193157634050?_r=1&language=en&source=h5_m&u_code=e0chikc5iej4kj&_d=e0chikc5iej4kj&share_music_id=7010331193157634050,424393970,386196,-47.0,-127.0,-140.0,0,0,522.0,0,0,2546.0,-0.7420948616600791,1.0,1.0,0.195,0.299,0.0001113409279929736,0.0013516452785632166,0.20502749410840534,-0.2681992337164751,0.9071428571428571,0.3357142857142857
625,N/A,Freaks,Surf Curse,https://www.tiktok.com/music/d%C5%BAwi%C4%99k-oryginalny-7066089642075982598?_r=1&language=en&source=h5_m&u_code=e0ci33h8ec04ma&_d=e0ci33h8ec04ma&share_music_id=7066089642075982598,472451833,5879,-55.0,-79.0,-109.0,0,0,5520.0,0,0,nan,nan,0.102,0.058,0.035,0.016,0.03757134353443738,0.9389351930600442,nan,-0.019746376811594205,0.7247706422018348,0.5045871559633027
626,+38,23,Mike WiLL Made-It,https://www.tiktok.com/music/23-miley-cyrus-6975721965327846150?_r=1&language=en&source=h5_m&u_code=e0ci083610h7da&_d=e0ci083610h7da&share_music_id=6975721965327846150,404531620,182050,-76.0,-65.0,17.0,0,0,237.0,0,0,-103.0,-1.6970588235294117,1.0,1.0,0.273,0.13,0.0003880114358951568,0.0013018401538039,-2.3009708737864076,0.07172995780590717,-3.823529411764706,-4.470588235294118
627,+73,Grenade,Bruno Mars,https://www.tiktok.com/music/sorry-ewancarterr-7042457383121029935?_r=1&language=en&source=h5_m&u_code=e0chl70ahe1hc9&_d=e0chl70ahe1hc9&share_music_id=7042457383121029935,445836074,293637,-85.0,-356.0,-475.0,0,0,926.0,0,0,5291.0,-0.7878579610538373,1.0,1.0,0.172,0.211,0.000470714218566554,0.0031535535371904765,0.17501417501417502,-0.5129589632829373,0.7494736842105263,0.17894736842105263
628,+74,No Idea,Don Toliver,https://www.tiktok.com/music/JB-7045099596397267758?_r=1&language=en&source=h5_m&u_code=e0ci0em9lbcl53&_d=e0ci0em9lbcl53&share_music_id=7045099596397267758,447602778,2189523,-136.0,-1413.0,-1711.0,0,0,5331.0,0,0,37358.0,-0.8335466949761139,1.0,1.0,1.0,1.0,0.0002829141675686395,0.0024347768897609204,0.14270035869157877,-0.32095291690114425,0.82583284628872,0.07948568088836938
